City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Kupino,RU,54.3663,77.2981,10.65,84,99,16.55,overcast clouds
105,Rawson,AR,-43.3002,-65.1023,65.68,48,62,15.37,broken clouds
106,Saint-Philippe,RE,-21.3585,55.7679,78.39,89,88,13.98,moderate rain
107,Nanortalik,GL,60.1432,-45.2371,12.9,62,100,5.97,overcast clouds
108,Namibe,AO,-15.1961,12.1522,76.19,73,100,10.92,overcast clouds
109,Charters Towers,AU,-20.1,146.2667,73.35,78,93,14.38,overcast clouds
110,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,100,9.22,light rain
111,Saskylakh,RU,71.9167,114.0833,-26.82,100,63,4.74,broken clouds
112,Torbay,CA,47.6666,-52.7314,54.75,91,100,41.43,moderate rain
113,Maltahohe,NA,-24.8333,16.9833,77.88,45,100,20.67,light rain
114,Victoria,HK,22.2855,114.1577,77.18,84,1,5.01,clear sky
115,Clyde River,CA,70.4692,-68.5914,-18.06,93,100,1.54,overcast clouds
116,Pevek,RU,69.7008,170.3133,-14.26,99,100,4.09,overcast clouds
117,Nyurba,RU,63.2842,118.3319,-1.46,99,100,2.91,overcast clouds
118,Hattiesburg,US,31.3271,-89.2903,35.65,71,0,0.0,clear sky
119,Lebu,CL,-37.6167,-73.65,60.78,73,8,14.36,clear sky
120,Cabo San Lucas,MX,22.8909,-109.9124,64.51,82,0,9.22,clear sky
121,Mayumba,GA,-3.432,10.6554,82.83,70,47,6.08,scattered clouds
122,Fallon,US,39.4735,-118.7774,46.45,43,20,5.75,few clouds
123,Iralaya,HN,15.0,-83.2333,79.9,78,1,11.52,clear sky
124,Moron,AR,-34.6534,-58.6198,69.94,63,0,2.24,clear sky
125,Hasaki,JP,35.7333,140.8333,61.2,75,100,20.22,overcast clouds
126,Teahupoo,PF,-17.8333,-149.2667,71.56,76,100,8.7,light rain
127,Sola,VU,-13.8833,167.55,81.52,75,100,9.08,overcast clouds
128,Kiama,AU,-34.6833,150.8667,66.99,89,8,5.14,clear sky
129,Saint-Georges,GD,12.0564,-61.7485,83.88,61,20,20.71,few clouds
130,Rehoboth,NA,-23.3167,17.0833,81.19,39,100,18.9,overcast clouds
131,Wuchang,CN,44.9143,127.15,28.74,92,95,5.97,overcast clouds
132,Inongo,CD,-1.95,18.2667,79.9,69,63,2.51,broken clouds
133,Maniitsoq,GL,65.4167,-52.9,1.96,79,100,3.85,overcast clouds
134,Chifeng,CN,42.2683,118.9636,38.12,44,100,9.62,light rain
135,Tuatapere,NZ,-46.1333,167.6833,51.53,93,3,3.38,clear sky
136,Ponta Do Sol,PT,32.6667,-17.1,65.71,85,100,8.66,overcast clouds
137,Kavieng,PG,-2.5744,150.7967,82.89,74,43,11.03,scattered clouds
138,Hobart,AU,-42.8794,147.3294,62.46,80,100,9.22,overcast clouds
139,Sitka,US,57.0531,-135.33,35.49,87,100,4.61,overcast clouds
140,Saint Anthony,US,45.0205,-93.218,28.45,80,0,9.22,clear sky
141,Krasnoselkup,RU,65.7,82.4667,-4.38,97,39,8.19,scattered clouds
142,Kota Bahru,MY,6.1333,102.2386,78.75,94,40,0.0,scattered clouds
143,Valdivia,CL,-39.8142,-73.2459,55.49,66,2,4.27,clear sky
144,Srednekolymsk,RU,67.45,153.6833,-20.65,100,91,4.14,overcast clouds
145,Furtwangen,DE,48.05,8.2,56.46,41,38,6.78,scattered clouds
146,Yumen,CN,40.2833,97.2,53.85,22,100,4.5,overcast clouds
147,Buraydah,SA,26.326,43.975,73.85,13,99,9.57,overcast clouds
148,Zyryanka,RU,65.75,150.85,-15.61,100,100,2.66,overcast clouds
149,Khatanga,RU,71.9667,102.5,-5.44,98,100,11.03,overcast clouds
150,Provideniya,RU,64.3833,-173.3,13.35,51,0,12.33,clear sky
151,Den Helder,NL,52.9599,4.7593,62.02,53,100,20.0,overcast clouds
152,Narsaq,GL,60.9167,-46.05,10.62,66,100,9.06,overcast clouds
153,Puerto Suarez,BO,-18.95,-57.8,75.76,83,100,6.91,overcast clouds
154,Cleethorpes,GB,53.5605,-0.0323,55.96,62,75,17.27,broken clouds
155,Samarai,PG,-10.6167,150.6667,83.61,78,92,12.03,overcast clouds
156,Qaanaaq,GL,77.484,-69.3632,-8.63,72,100,3.67,overcast clouds
157,Mananjary,MG,-21.2167,48.3333,78.21,87,100,7.2,moderate rain
158,Mareeba,AU,-17.0,145.4333,74.44,93,87,3.15,light rain
159,Alta Floresta,BR,-9.8756,-56.0861,87.62,74,40,9.22,scattered clouds
160,Colomi,BO,-17.35,-65.8667,53.62,86,100,1.36,overcast clouds
161,Benjamin Hill,MX,30.1667,-111.1,50.54,23,0,4.21,clear sky
162,Solnechnyy,RU,50.7214,136.6319,10.11,95,80,4.41,broken clouds
163,Perumpavur,IN,10.1333,76.4833,85.91,58,97,4.61,haze
164,Lorut,AM,40.9372,44.7714,26.08,81,100,2.57,light snow
