City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,
375,Ankpa,NG,78.08,scattered clouds,7.3706,7.6253,
376,Harper,LR,80.29,overcast clouds,4.375,-7.7169,
378,Tenkodogo,BF,89.94,overcast clouds,11.78,-0.3697,
380,Cururupu,BR,74.93,overcast clouds,-1.8283,-44.8683,
381,Alta Floresta,BR,79.86,overcast clouds,-9.8756,-56.0861,
385,Isla Vista,US,77.99,clear sky,34.4133,-119.861,
387,Kidal,ML,79.02,clear sky,18.4411,1.4078,
388,Gusau,NG,82.18,overcast clouds,12.1628,6.6614,
396,Owando,CG,70.21,overcast clouds,-0.4819,15.8999,
401,Popondetta,PG,75.54,overcast clouds,-8.7537,148.2534,
410,Trincomalee,LK,80.74,overcast clouds,8.5711,81.2335,
414,Vanimo,PG,77.2,overcast clouds,-2.6741,141.3028,
415,Gold Coast,AU,72.03,broken clouds,-28.0,153.4333,
421,Biltine,TD,79.68,clear sky,14.5333,20.9167,
422,Anaco,VE,87.48,overcast clouds,9.4389,-64.4728,
423,Camopi,GF,76.05,light rain,3.1655,-52.3158,
426,Afua,BR,77.94,overcast clouds,-0.1567,-50.3867,
430,Taoudenni,ML,76.06,clear sky,22.6783,-3.9836,
432,Bandarbeyla,SO,76.66,scattered clouds,9.4942,50.8122,
434,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,
436,Matara,LK,76.48,overcast clouds,5.9485,80.5353,
442,Iacu,BR,83.61,broken clouds,-12.7672,-40.2117,
447,Valera,VE,77.81,overcast clouds,9.3178,-70.6036,
450,Moerai,PF,80.78,overcast clouds,-22.4333,-151.3333,
451,Porto Velho,BR,84.25,scattered clouds,-8.7619,-63.9039,
452,Banjar,ID,77.38,overcast clouds,-8.19,114.9675,
458,Motul,MX,72.99,broken clouds,21.1,-89.2833,
460,Hua Hin,TH,79.34,overcast clouds,12.5707,99.9588,
466,Linguere,SN,88.02,clear sky,15.3953,-15.1193,
467,Lamont,US,75.54,clear sky,35.2597,-118.9143,
472,Paragominas,BR,74.52,overcast clouds,-2.9667,-47.4833,
473,Calama,CL,72.09,few clouds,-22.4667,-68.9333,
474,Opuwo,,70.0,light rain,-18.0607,13.84,
475,Salalah,OM,73.36,scattered clouds,17.0151,54.0924,
477,Luwuk,ID,77.22,overcast clouds,-0.9516,122.7875,
479,Sabang,ID,81.91,overcast clouds,5.8933,95.3214,
482,Huarmey,PE,76.84,broken clouds,-10.0681,-78.1522,
483,Sao Desiderio,BR,79.63,overcast clouds,-12.3633,-44.9733,
487,Cockburn Town,TC,77.81,clear sky,21.4612,-71.1419,
491,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,
493,Kiunga,PG,72.01,overcast clouds,-6.1219,141.2906,
494,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,
496,Sola,VU,81.27,broken clouds,-13.8833,167.55,
499,Yulara,AU,71.44,broken clouds,-25.2406,130.9889,
501,Khudumelapye,BW,72.46,clear sky,-23.8833,24.75,
506,Ailigandi,PA,82.58,scattered clouds,9.2333,-78.0167,
507,Pringsewu,ID,73.76,moderate rain,-5.3582,104.9744,
509,Kings Point,US,71.58,broken clouds,26.4454,-80.1398,
511,Tiarei,PF,87.82,scattered clouds,-17.5333,-149.3333,
512,Sisophon,KH,81.5,broken clouds,13.5859,102.9737,
516,Porto Novo,BJ,82.81,overcast clouds,6.4965,2.6036,
518,Port Hueneme,US,82.38,clear sky,34.1478,-119.1951,
519,Gwadar,PK,76.69,clear sky,25.1216,62.3254,
526,General Roca,AR,82.62,clear sky,-39.0333,-67.5833,
527,Amahai,ID,78.19,overcast clouds,-3.3333,128.9167,
528,Inhambane,MZ,76.06,scattered clouds,-23.865,35.3833,
529,Inirida,CO,78.8,overcast clouds,3.8653,-67.9239,
533,Kupang,ID,77.74,overcast clouds,-10.1667,123.5833,
537,Khorixas,,70.9,light rain,-20.3667,14.9667,
538,Cairns,AU,79.07,overcast clouds,-16.9167,145.7667,
